Smiles,logSw
CCCSCC(NC(=O)C(N)CC(=O)O)CC(=O)OC,2.11
O=C(NC(CCC(C)C)C(=O)OC)[C@H](N)CC(=O)O,2.11
O=C(O)C[C@@H](N)C(=O)NC(Cc1ccccc1)C(=O)OC,2.11
CCCSCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,2.11
O(C(=O)CCCNC(=O)C(N)CC(O)=O)C,2.13
CC1CCC1C(=O)OC[C@H](C)NC(=O)[C@H](N)CC(=O)O,2.13
CC(C)(C)OCC(CC(=O)OC)NC(=O)C(N)CC(=O)O,2.15
O=C(O)CC(N)C(=O)NC(COc1ccccc1)CC(=O)OC,2.15
CC(C)OC(=O)CC(NC(=O)[C@H](N)CC(=O)O)C(C)C,2.15
CC(C)(C)OCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,2.15
Oc1ccc(CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC)cc1,2.15
O1[C@](O)(CO)C(O)C(O)C1CO,2.168968647
OC1=CC[C@@H](OC1=O)[C@@H](C)C1CCC2[C@@H]3CCC4[C@]5(C[C@@]35CC[C@]12C)CC[C@H](OO[C@@H]1O[C@H](C)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@H](O)[C@H]1O)[C@@]4(O)C(=O)O,2.176091259
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CCl)O[C@@H](CC1O)CCl,2.176091259
O(C(C)C)C(=O)C(CNC(=O)C(N)CC(O)=O)C,2.18
O=C(O)C[C@@H](N)C(=O)N[C@@H](C)COC(=O)C1CC1,2.18
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CO)O[C@H](CCl)C(Cl)C1O,2.204119983
CC(C)(C)OC(=O)CC(CO)NC(=O)[C@H](N)CC(=O)O,2.21
O=C(O)CC(N)C(=O)NC(Cc1ccccc1)C(=O)OC,2.23
CC(C)SCC(NC(=O)C(C)CC(=O)O)C(=O)OC,2.23
CC(C)SCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,2.23
O=C(O)C[C@@H](N)C(=O)N[C@@H](C)COC(=O)C1CCC1,2.24
O(C(=O)C(NC(=O)C(N)CC(O)=O)CCCNOC(=O)C)C,2.25
O(C(=O)C(NC(=O)C(N)CC(O)=O)CCCCNOC(=O)C)C,2.27
O(C(=O)C)CCNC(=O)C(N)CC(O)=O,2.28
C[C@H](NC(=O)[C@H](N)CC(=O)O)COC(=O)C(C)(C)C,2.28
O=C(NC(CCCCCCC)C(=O)OC)C(N)CC(=O)O,2.3
O=C(O)CC(NCCCCC)C(=O)NC(Cc1ccccc1)C(=O)OC,2.3
OC(=O)CC(NCC1CC1)C(=O)NC(Cc1ccccc1)C(=O)OC,2.3
OC1[C@@H](OC(CCl)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(O)C1O,2.301029996
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(Cl)C1O,2.301029996
CC(C)(C)OC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OCC,2.32
CC(C)(C)OC(=O)CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OCC,2.32
